cpu_actual,cpu_predicted_msar
43.47769230769231,44.54764815015679
42.12881408065619,42.782243557192714
41.66895326895327,41.74410962410597
38.909005994005994,41.18899089662703
40.60942418692419,39.08844474974588
42.1850333000333,39.92579255380704
38.0355266955267,41.35930586000547
36.65878787878788,38.58235874785895
35.20804653679654,36.817326794906464
50.05846153846154,35.49699669562667
46.4061093073593,49.35991697934648
45.37302436125965,45.97549384028105
46.385743006993,44.65266536757508
41.38864538239538,45.244151941079394
44.878034188034185,41.847567195558746
41.14108946608947,43.58029638304471
39.948956876456876,41.278579292486235
40.740263347763346,39.764385449329446
36.50278554778555,40.1628282690854
38.871761571761574,37.22551777622286
34.50113247863248,38.26693743437502
41.81770451770452,35.427517811926734
42.276694465665045,40.596973159474004
38.403592606224194,41.580895250721156
37.03827623357035,38.86432528200265
41.981221001221,37.15775342974322
41.16594655344655,40.8453921854268
37.177510822510826,40.76372273784445
40.9717007992008,37.79486814570116
40.35943223443224,40.00782865054874
44.393809295279894,40.00519105302181
39.05440476190476,43.10154617763577
44.94214396714396,39.78470903258314
45.81622209489856,43.43337158990805
48.61432109557109,44.726157497701216
42.850796425796425,47.03902198880351
42.38197940947941,43.36431092623505
45.35104579630895,41.864398153646654
43.320440845704006,44.06984679626078
46.27691919191919,42.91925957978774
38.91171928948244,44.910461848560516
38.14309523809524,40.387403632068036
46.22067793317793,38.08702013365343
49.52449134199135,44.827214037082385
40.591388888888886,47.78117020316903
45.58986305361306,42.57142367865085
41.933860028860025,44.0307996528147
39.14998560263266,41.968153866322226
36.879576991635815,39.33961735590369
35.48457251082251,37.17301463888325
34.07161283161283,35.74341127807233
36.91595002220002,34.459201787292386
35.94277236652236,36.43491709549765
34.92845238095238,36.06417200902584
37.98402114912951,35.166217064949855
37.32866161616162,37.3809974116758
37.53073593073593,37.26948228783932
37.1621916971917,37.33547411797836
41.89394660894661,37.08433415028945
44.53503968253968,40.78315895077136
42.52154761904762,43.35283718140801
39.53672494172494,42.195467224745556
38.20015873015873,39.7168053811282
36.002500000000005,38.2003881140568
41.76126984126984,36.35211715875079
38.680268065268066,40.5999914640063
38.23193306693306,38.900198091084064
38.42819264069264,38.08053430511442
36.37584415584415,38.14980469285077
35.830961538461544,36.65269558810066
40.43933982683983,35.91438614425271
36.66891608391608,39.470498677943546
39.544415584415574,37.22850205542276
37.00110472860472,38.81620431662149
39.5941810966811,37.293978087556155
41.23469599028422,38.89410591739674
40.16983588779642,40.48824181149555
39.569590132090134,39.912691770045186
39.19629612217848,39.3075132672878
38.75965978465978,38.93201918784933
46.72777888777888,38.545090220893144
42.942225829725835,45.25290499226014
46.78165404040404,42.88321525122531
43.694190436326664,45.28242634788894
40.64387085137084,43.446941108993975
34.75392385392386,40.744843754313806
37.03463578088578,36.19678487599421
33.32431623931624,36.61708487327496
38.296006771006766,34.20709869960389
32.77003246753247,37.4760744961088
31.96841935841936,34.13671181992466
32.17933686411627,32.4722542974906
34.58537408669761,32.48022892202781
41.41603984251043,34.369833369776394
39.06438672438672,40.33169175778079
38.62318181818182,39.11264666472204
