ts_bucket,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent,machine_id
375900,47.875,94.75,,,46.12,35.935,21.875,m_1508
376200,63.0,95.625,,,46.13,35.94125,16.375,m_1508
376500,53.470588235294116,96.41176470588235,,,46.13999999999999,35.949999999999996,12.588235294117647,m_1508
376800,56.0,96.4,,,46.147999999999996,35.958,11.4,m_1508
377100,48.0,94.66666666666667,,,46.15,35.96333333333334,14.333333333333334,m_1508
377400,48.54545454545455,91.54545454545455,,,46.16,35.97,9.0,m_1508
377700,41.333333333333336,88.0,,,46.161111111111104,35.97222222222222,9.333333333333334,m_1508
378000,53.785714285714285,92.07142857142857,,,46.173571428571435,35.98,5.214285714285714,m_1508
378300,46.8,94.1,,,46.187,35.985,10.3,m_1508
378600,38.0,89.125,,,46.19125,35.989999999999995,13.25,m_1508
378900,43.4,89.9,,,46.2,35.998000000000005,7.3,m_1508
379200,49.36363636363637,93.72727272727273,,,46.20818181818182,36.0,12.727272727272727,m_1508
379500,44.333333333333336,92.77777777777777,,,46.212222222222216,36.010000000000005,10.0,m_1508
379800,46.333333333333336,92.75,,,46.22,36.01333333333333,11.0,m_1508
380100,38.07142857142857,91.35714285714286,,,46.227142857142844,36.02,7.571428571428571,m_1508
380400,39.57142857142857,94.14285714285714,,,46.230000000000004,36.02,7.571428571428571,m_1508
380700,52.55555555555556,95.11111111111111,,,46.23444444444445,36.03,7.333333333333333,m_1508
381000,46.63636363636363,90.72727272727273,,,46.24,36.03181818181818,7.090909090909091,m_1508
381300,47.375,91.875,,,46.24875,36.04,13.0,m_1508
381600,51.2,93.2,,,46.25,36.04,8.0,m_1508
381900,43.18181818181818,92.9090909090909,,,46.26,36.05,7.545454545454546,m_1508
382200,40.8,93.2,,,46.260000000000005,36.052,4.4,m_1508
382500,45.77777777777778,91.22222222222223,,,46.26888888888889,36.06,7.555555555555555,m_1508
382800,41.25,91.3125,,,46.269999999999996,36.060625,6.5,m_1508
383100,37.86666666666667,91.33333333333333,,,46.27733333333333,36.07,9.333333333333334,m_1508
383400,40.22222222222222,92.88888888888889,,,46.28,36.07,9.333333333333334,m_1508
383700,44.5,93.5,,,46.29,36.07999999999999,8.583333333333334,m_1508
384000,37.916666666666664,92.41666666666667,,,46.29,36.080833333333324,5.583333333333333,m_1508
384300,42.0,93.66666666666667,,,46.29999999999999,36.09,5.166666666666667,m_1508
384600,41.44444444444444,91.88888888888889,,,46.3,36.09111111111112,3.2222222222222223,m_1508
384900,32.916666666666664,91.5,,,46.30666666666667,36.1,3.4166666666666665,m_1508
385200,38.75,93.25,,,46.31,36.100625,3.6875,m_1508
385500,40.90909090909091,92.9090909090909,,,46.31363636363636,36.11,5.0,m_1508
385800,41.0,92.2,,,46.32,36.11,3.0,m_1508
386100,41.916666666666664,94.16666666666667,,,46.32,36.119166666666665,7.0,m_1508
386400,40.875,93.875,,,46.33,36.11999999999999,6.0,m_1508
386700,40.6,94.3,,,46.33,36.124,3.4,m_1508
387000,40.72727272727273,94.36363636363636,,,46.33636363636364,36.13,5.181818181818182,m_1508
387300,38.142857142857146,95.85714285714286,,,46.339999999999996,36.13142857142857,4.857142857142857,m_1508
387600,52.9,95.3,,,46.34,36.14,7.1,m_1508
387900,40.666666666666664,94.16666666666667,,,46.35,36.142500000000005,5.166666666666667,m_1508
388200,37.142857142857146,91.71428571428571,,,46.35000000000001,36.15,3.857142857142857,m_1508
388500,32.75,91.58333333333333,,,46.35583333333333,36.15,2.9166666666666665,m_1508
388800,34.0,91.55555555555556,,,46.36,36.16,4.222222222222222,m_1508
389100,44.69230769230769,94.46153846153847,,,46.363076923076925,36.16,7.461538461538462,m_1508
389400,39.5,94.83333333333333,,,46.37166666666666,36.167500000000004,5.583333333333333,m_1508
389700,39.90909090909091,92.18181818181819,,,46.38272727272727,36.17,3.727272727272727,m_1508
390000,35.72727272727273,92.9090909090909,,,46.39,36.17272727272728,4.545454545454546,m_1508
390300,39.0,93.16666666666667,,,46.395,36.18,5.0,m_1508
390600,35.333333333333336,93.33333333333333,,,46.4,36.19,3.3333333333333335,m_1508
390900,32.15384615384615,93.3076923076923,,,46.40384615384615,36.19076923076923,3.8461538461538463,m_1508
391200,33.27272727272727,93.36363636363636,,,46.41,36.2,3.727272727272727,m_1508
391500,32.0,94.21428571428571,,,46.41357142857142,36.2,4.071428571428571,m_1508
391800,28.818181818181817,92.72727272727273,,,46.42,36.20636363636364,3.272727272727273,m_1508
392100,25.615384615384617,92.23076923076923,,,46.42,36.21000000000001,2.3846153846153846,m_1508
392400,31.555555555555557,93.33333333333333,,,46.42777777777778,36.21,2.888888888888889,m_1508
392700,39.4,94.8,,,46.42999999999999,36.22,4.8,m_1508
393000,42.0,96.0,,,46.43714285714286,36.22142857142857,6.714285714285714,m_1508
393300,43.22222222222222,95.77777777777777,,,46.44,36.22999999999999,4.666666666666667,m_1508
393600,44.285714285714285,96.28571428571429,,,46.44714285714286,36.23,10.857142857142858,m_1508
393900,39.285714285714285,93.71428571428571,,,46.45142857142857,36.23714285714286,6.142857142857143,m_1508
394200,39.375,92.0,,,46.46,36.24125,4.5,m_1508
394500,38.22222222222222,92.11111111111111,,,46.46666666666667,36.25,7.111111111111111,m_1508
394800,40.714285714285715,92.0,,,46.46999999999999,36.255714285714284,9.428571428571429,m_1508
395100,38.0,92.75,,,46.487500000000004,36.26,5.25,m_1508
395400,38.285714285714285,94.14285714285714,,,46.494285714285716,36.26428571428571,5.571428571428571,m_1508
395700,39.5,96.0,,,46.501,36.27,4.1,m_1508
396000,44.5,96.33333333333333,,,46.51,36.276666666666664,9.0,m_1508
396300,58.583333333333336,96.75,,,46.51833333333334,36.2825,6.25,m_1508
396600,53.77777777777778,96.11111111111111,,,46.52444444444445,36.29,14.333333333333334,m_1508
396900,48.53846153846154,96.3076923076923,,,46.53000000000001,36.29615384615385,6.615384615384615,m_1508
397200,47.22222222222222,95.0,,,46.54,36.30333333333333,4.777777777777778,m_1508
397500,49.0,94.11111111111111,,,46.54555555555555,36.31,4.777777777777778,m_1508
397800,48.09090909090909,94.81818181818181,,,46.55272727272727,36.31636363636363,4.454545454545454,m_1508
398100,40.833333333333336,93.5,,,46.56,36.32,4.0,m_1508
398400,42.125,92.625,,,46.567499999999995,36.33,6.875,m_1508
398700,39.1,92.7,,,46.571000000000005,36.33,3.7,m_1508
399000,43.416666666666664,96.33333333333333,,,46.580000000000005,36.34,4.916666666666667,m_1508
399300,34.1,93.2,,,46.586,36.34,4.9,m_1508
399600,38.44444444444444,95.44444444444444,,,46.59,36.349999999999994,4.222222222222222,m_1508
399900,42.44444444444444,91.77777777777777,,,46.59777777777778,36.349999999999994,5.0,m_1508
400200,34.0,90.33333333333333,,,46.6,36.358333333333334,4.5,m_1508
400500,31.0,92.6,,,46.608,36.36,3.4,m_1508
400800,29.5,91.7,,,46.617,36.363,4.0,m_1508
401100,28.333333333333332,91.22222222222223,,,46.62,36.37,3.3333333333333335,m_1508
401400,29.333333333333332,91.83333333333333,,,46.62916666666666,36.37,4.166666666666667,m_1508
401700,34.46153846153846,92.61538461538461,,,46.63230769230769,36.37615384615385,4.923076923076923,m_1508
402000,28.8,91.7,,,46.64,36.38000000000001,3.9,m_1508
402300,30.375,94.625,,,46.646249999999995,36.383750000000006,7.375,m_1508
402600,32.142857142857146,94.0,,,46.651428571428575,36.39,3.7142857142857144,m_1508
402900,23.25,92.91666666666667,,,46.66,36.38999999999999,3.3333333333333335,m_1508
403200,29.545454545454547,94.0909090909091,,,46.66,36.39636363636364,2.909090909090909,m_1508
403500,25.692307692307693,93.3076923076923,,,46.67,36.400000000000006,2.4615384615384617,m_1508
403800,30.0,94.11111111111111,,,46.669999999999995,36.403333333333336,2.888888888888889,m_1508
404100,31.555555555555557,94.33333333333333,,,46.67888888888889,36.41,2.5555555555555554,m_1508
404400,24.666666666666668,93.22222222222223,,,46.68,36.41,3.2222222222222223,m_1508
404700,29.166666666666668,94.58333333333333,,,46.69,36.42,4.75,m_1508
405000,26.833333333333332,96.16666666666667,,,46.69,36.42,4.166666666666667,m_1508
405300,27.857142857142858,94.28571428571429,,,46.69857142857143,36.425714285714285,4.0,m_1508
405600,25.923076923076923,95.46153846153847,,,46.7,36.43,2.8461538461538463,m_1508
405900,25.8,95.5,,,46.70300000000001,36.433,2.8,m_1508
406200,25.625,96.25,,,46.71,36.44,4.0,m_1508
406500,30.846153846153847,97.23076923076923,,,46.71384615384615,36.443846153846145,2.923076923076923,m_1508
406800,28.1,94.3,,,46.71999999999999,36.449999999999996,3.4,m_1508
407100,26.142857142857142,93.14285714285714,,,46.72142857142857,36.45142857142857,6.428571428571429,m_1508
407400,27.53846153846154,94.53846153846153,,,46.730000000000004,36.46,3.3076923076923075,m_1508
407700,20.0,95.14285714285714,,,46.73,36.46142857142858,2.5714285714285716,m_1508
408000,20.166666666666668,93.83333333333333,,,46.74,36.47,2.3333333333333335,m_1508
408300,20.5,92.1,,,46.74,36.47,3.0,m_1508
408600,25.625,93.25,,,46.745000000000005,36.48,3.625,m_1508
408900,24.636363636363637,93.18181818181819,,,46.75,36.48,7.0,m_1508
409200,26.90909090909091,93.72727272727273,,,46.75090909090909,36.484545454545454,7.818181818181818,m_1508
409500,26.181818181818183,92.81818181818181,,,46.76,36.49,7.545454545454546,m_1508
409800,29.666666666666668,94.33333333333333,,,46.76,36.49,4.333333333333333,m_1508
410100,45.125,94.75,,,46.77,36.5,2.875,m_1508
410400,43.625,94.0,,,46.769999999999996,36.5,3.75,m_1508
410700,36.92857142857143,94.28571428571429,,,46.769999999999996,36.503571428571426,3.0714285714285716,m_1508
411000,25.833333333333332,95.08333333333333,,,46.78,36.51,2.25,m_1508
411300,31.384615384615383,96.15384615384616,,,46.78000000000001,36.51,2.5384615384615383,m_1508
411600,27.714285714285715,94.35714285714286,,,46.78214285714286,36.518571428571434,3.2857142857142856,m_1508
411900,25.916666666666668,94.41666666666667,,,46.79,36.52,3.3333333333333335,m_1508
412200,31.77777777777778,95.44444444444444,,,46.79,36.52444444444445,4.333333333333333,m_1508
412500,27.416666666666668,94.91666666666667,,,46.79416666666666,36.53,2.8333333333333335,m_1508
412800,23.8,94.4,,,46.8,36.534,3.0,m_1508
413100,27.2,95.0,,,46.8,36.54,3.1,m_1508
413400,29.25,97.125,,,46.81,36.54125,4.0,m_1508
413700,27.90909090909091,97.0,,,46.81000000000001,36.55,8.727272727272727,m_1508
414000,35.2,96.0,,,46.81,36.55,3.0,m_1508
414300,29.357142857142858,92.71428571428571,,,46.82,36.56,2.7142857142857144,m_1508
414600,27.5,92.21428571428571,,,46.82,36.56,2.7857142857142856,m_1508
414900,27.0,92.5,,,46.82625,36.56875,3.25,m_1508
415200,33.0,94.0,,,46.83,36.57000000000001,2.9,m_1508
415500,26.846153846153847,93.46153846153847,,,46.83384615384615,36.576153846153844,4.3076923076923075,m_1508
415800,28.88888888888889,93.44444444444444,,,46.84,36.58,5.333333333333333,m_1508
416100,28.8,93.33333333333333,,,46.84,36.58,5.133333333333334,m_1508
416400,24.5,92.8,,,46.846999999999994,36.59,3.2,m_1508
416700,31.636363636363637,94.9090909090909,,,46.85,36.59,2.8181818181818183,m_1508
417000,22.714285714285715,94.57142857142857,,,46.85000000000001,36.59571428571428,3.857142857142857,m_1508
417300,29.77777777777778,93.66666666666667,,,46.86,36.599999999999994,4.555555555555555,m_1508
417600,25.916666666666668,94.08333333333333,,,46.85999999999999,36.6,3.0,m_1508
417900,27.285714285714285,95.28571428571429,,,46.86142857142857,36.61,3.142857142857143,m_1508
418200,24.272727272727273,94.63636363636364,,,46.87,36.61,3.272727272727273,m_1508
418500,28.3,94.6,,,46.87,36.614999999999995,4.2,m_1508
418800,20.8,93.3,,,46.876999999999995,36.61999999999999,3.5,m_1508
419100,27.0,95.0909090909091,,,46.88,36.62363636363636,3.6363636363636362,m_1508
419400,29.0,95.5,,,46.883,36.63000000000001,7.8,m_1508
419700,33.54545454545455,96.27272727272727,,,46.88999999999999,36.63,6.545454545454546,m_1508
420000,30.0,96.0,,,46.88999999999999,36.63727272727272,3.909090909090909,m_1508
420300,28.2,93.2,,,46.897999999999996,36.64,3.0,m_1508
420600,32.285714285714285,94.85714285714286,,,46.9,36.642857142857146,2.7142857142857144,m_1508
420900,32.166666666666664,95.08333333333333,,,46.9,36.65,3.8333333333333335,m_1508
421200,27.75,95.6875,,,46.90874999999999,36.65,5.5,m_1508
421500,35.666666666666664,95.22222222222223,,,46.91,36.65555555555555,3.4444444444444446,m_1508
421800,28.125,95.125,,,46.9175,36.66,2.875,m_1508
422100,35.45454545454545,96.63636363636364,,,46.92,36.66090909090909,2.727272727272727,m_1508
422400,30.375,92.25,,,46.92125,36.67,2.625,m_1508
